DATE,自營商多,自營商空,自營商多空淨額,投信多,投信空,投信多空淨額,外資多,外資空,外資多空淨額
2022/09/07,,,241,,,"-8,837",,,"5,281"
2022/09/07," 10,630"," 9,878", 752," 8,347"," 17,739"," -9,392"," 29,406"," 27,929"," 1,477"
2022/09/08,,,611,,,"-9,392",,,"5,894"
2022/09/08," 11,202"," 11,071", 131," 8,290"," 17,151"," -8,861"," 28,748"," 23,583"," 5,165"
2022/09/12,,,-165,,,"-8,776",,,"5,175"
2022/09/12," 10,453"," 11,916"," -1,463"," 8,349"," 16,379"," -8,030"," 29,802"," 21,514"," 8,288"
2022/09/13,,,"-2,101",,,"-8,030",,,"9,722"
2022/09/13," 10,024"," 12,374"," -2,350"," 8,273"," 16,165"," -7,892"," 31,653"," 20,676"," 10,977"
2022/09/14,,,"-2,301",,,"-7,982",,,"7,918"
2022/09/14," 9,550"," 10,210", -660," 8,409"," 16,859"," -8,450"," 30,391"," 21,406"," 8,985"
2022/09/15,,,-965,,,"-8,450",,,"8,684"
2022/09/15," 10,270"," 10,546", -276," 8,451"," 16,756"," -8,305"," 33,036"," 20,807"," 12,229"
2022/09/16,,,51,,,"-8,305",,,"10,997"
2022/09/16," 11,145"," 10,763", 382," 8,279"," 17,087"," -8,808"," 33,404"," 22,048"," 11,356"
2022/09/19,,,761,,,"-8,808",,,"10,876"
2022/09/19," 11,206"," 10,935", 271," 8,267"," 17,206"," -8,939"," 37,347"," 28,642"," 8,705"
2022/09/20,,,-645,,,"-8,939",,,"11,058"
2022/09/20," 10,695"," 11,241", -546," 8,302"," 17,064"," -8,762"," 38,359"," 25,236"," 13,123"
2022/09/21,,,573,,,"-8,672",,,"9,844"
2022/09/21," 10,351"," 6,128"," 4,223"," 8,353"," 16,870"," -8,517"," 28,809"," 21,226"," 7,583"
2022/09/22,,,"3,970",,,"-8,610",,,"8,970"
2022/09/22," 12,304"," 6,618"," 5,686"," 8,592"," 17,455"," -8,863"," 28,046"," 21,863"," 6,183"
2022/09/23,,,"5,612",,,"-8,770",,,"4,985"
2022/09/23," 12,267"," 6,926"," 5,341"," 8,663"," 17,583"," -8,920"," 27,550"," 22,889"," 4,661"
2022/09/26,,,"5,070",,,"-8,920",,,"4,771"
2022/09/26," 12,443"," 6,776"," 5,667"," 8,801"," 18,249"," -9,448"," 26,475"," 26,338", 137
2022/09/27,,,"5,332",,,"-9,545",,,"1,816"
2022/09/27," 12,866"," 6,810"," 6,056"," 8,932"," 18,266"," -9,334"," 25,304"," 25,905", -601
2022/09/28,,,"5,387",,,"-9,334",,,-87
2022/09/28," 13,227"," 7,775"," 5,452"," 9,162"," 19,085"," -9,923"," 26,407"," 25,031"," 1,376"
2022/09/29,,,"5,398",,,"-9,923",,,"3,326"
2022/09/29," 13,710"," 8,625"," 5,085"," 9,208"," 18,931"," -9,723"," 24,679"," 25,040", -361
2022/09/30,,,"4,817",,,"-9,723",,,"1,285"
2022/09/30," 13,652"," 8,386"," 5,266"," 9,417"," 18,684"," -9,267"," 24,895"," 26,723"," -1,828"
2022/10/03,,,"4,683",,,"-9,267",,,-132
2022/10/03," 14,063"," 9,148"," 4,915"," 9,548"," 19,114"," -9,566"," 24,598"," 26,173"," -1,575"
2022/10/04,,,"4,714",,,"-9,566",,,-538
2022/10/04," 14,682"," 9,166"," 5,516"," 9,772"," 18,106"," -8,334"," 26,749"," 29,451"," -2,702"
2022/10/05,,,"4,861",,,"-8,334",,,283
2022/10/05," 13,923"," 7,722"," 6,201"," 10,060"," 17,432"," -7,372"," 32,264"," 24,115"," 8,149"
2022/10/06,,,"6,333",,,"-7,372",,,"6,055"
2022/10/06," 14,324"," 7,193"," 7,131"," 9,803"," 17,265"," -7,462"," 28,970"," 26,249"," 2,721"
2022/10/07,,,"6,725",,,"-7,462",,,"2,479"
2022/10/07," 12,936"," 7,467"," 5,469"," 10,105"," 17,255"," -7,150"," 27,855"," 26,071"," 1,784"
2022/10/11,,,"5,204",,,"-7,150",,,"2,723"
2022/10/11," 13,570"," 7,990"," 5,580"," 10,172"," 19,208"," -9,036"," 30,036"," 26,049"," 3,987"
2022/10/12,,,"5,237",,,"-9,036",,,"3,786"
2022/10/12," 12,919"," 7,946"," 4,973"," 10,043"," 19,310"," -9,267"," 27,473"," 25,186"," 2,287"
2022/10/13,,,"4,981",,,"-9,267",,,"3,280"
2022/10/13," 12,482"," 8,780"," 3,702"," 10,037"," 19,659"," -9,622"," 32,098"," 22,812"," 9,286"
2022/10/14,,,"4,417",,,"-9,622",,,"7,402"
2022/10/14," 13,170"," 8,531"," 4,639"," 10,363"," 18,656"," -8,293"," 30,340"," 23,946"," 6,394"
2022/10/17,,,"3,845",,,"-8,293",,,"6,049"
2022/10/17," 14,527"," 9,419"," 5,108"," 11,270"," 18,705"," -7,435"," 32,001"," 29,756"," 2,245"
2022/10/18,,,"4,754",,,"-7,435",,,"3,899"
2022/10/18," 14,673"," 11,045"," 3,628"," 8,461"," 17,931"," -9,470"," 34,297"," 28,671"," 5,626"
2022/10/19,,,"3,932",,,"-9,470",,,"2,183"
2022/10/19," 12,310"," 6,925"," 5,385"," 8,663"," 18,123"," -9,460"," 26,340"," 21,580"," 4,760"
2022/10/20,,,"5,134",,,"-9,477",,,"8,167"
2022/10/20," 12,169"," 7,749"," 4,420"," 8,630"," 18,517"," -9,887"," 27,314"," 19,649"," 7,665"
2022/10/21,,,"4,402",,,"-9,887",,,"8,198"
2022/10/21," 12,387"," 8,086"," 4,301"," 8,324"," 18,792"," -10,468"," 30,254"," 18,489"," 11,765"
2022/10/24,,,"4,308",,,"-10,468",,,"11,025"
2022/10/24," 10,891"," 8,581"," 2,310"," 8,421"," 18,296"," -9,875"," 29,813"," 21,366"," 8,447"
2022/10/25,,,"2,520",,,"-9,875",,,"9,272"
2022/10/25," 9,466"," 8,238"," 1,228"," 8,258"," 18,901"," -10,643"," 31,980"," 23,054"," 8,926"
2022/10/26,,,649,,,"-10,643",,,"11,769"
2022/10/26," 7,945"," 8,307", -362," 8,289"," 18,219"," -9,930"," 36,394"," 21,218"," 15,176"
2022/10/27,,,2,,,"-9,930",,,"13,645"
2022/10/27," 8,243"," 7,423", 820," 8,409"," 17,612"," -9,203"," 35,457"," 25,166"," 10,291"
2022/10/28,,,752,,,"-9,203",,,"8,216"
2022/10/28," 8,770"," 7,523"," 1,247"," 8,374"," 18,109"," -9,735"," 32,886"," 26,233"," 6,653"
2022/10/31,,,"1,106",,,"-9,735",,,"8,835"
2022/10/31," 9,146"," 7,641"," 1,505"," 8,473"," 17,642"," -9,169"," 33,858"," 24,989"," 8,869"
2022/11/01,,,"1,482",,,"-9,169",,,"8,673"
2022/11/01," 8,839"," 7,432"," 1,407"," 8,442"," 17,352"," -8,910"," 34,117"," 27,940"," 6,177"
2022/11/02,,,"1,349",,,"-8,796",,,"6,333"
2022/11/02," 8,752"," 7,800", 952," 8,535"," 16,868"," -8,333"," 34,234"," 26,900"," 7,334"
2022/11/03,,,"1,605",,,"-8,333",,,"5,161"
2022/11/03," 9,182"," 7,674"," 1,508"," 8,610"," 17,095"," -8,485"," 31,746"," 25,712"," 6,034"
2022/11/04,,,"1,174",,,"-8,485",,,"5,560"
2022/11/04," 9,009"," 7,760"," 1,249"," 8,664"," 16,839"," -8,175"," 33,097"," 27,509"," 5,588"
2022/11/07,,,"1,268",,,"-8,175",,,"6,053"
2022/11/07," 9,712"," 7,340"," 2,372"," 9,000"," 16,334"," -7,334"," 33,282"," 28,807"," 4,475"
2022/11/08,,,"2,432",,,"-7,334",,,"2,561"
2022/11/08," 9,191"," 8,368", 823," 9,180"," 16,023"," -6,843"," 34,261"," 29,679"," 4,582"
2022/11/09,,,601,,,"-6,843",,,"4,877"
2022/11/09," 8,657"," 7,712", 945," 9,289"," 15,360"," -6,071"," 38,455"," 29,449"," 9,006"
2022/11/10,,,"1,902",,,"-6,071",,,"3,803"
2022/11/10," 8,666"," 6,058"," 2,608"," 10,230"," 16,061"," -5,831"," 31,572"," 31,850", -278
2022/11/11,,,"1,880",,,"-5,831",,,"5,285"
2022/11/11," 7,813"," 7,815", -2," 11,216"," 15,197"," -3,981"," 42,293"," 33,382"," 8,911"
2022/11/14,,,-90,,,"-3,981",,,"7,975"
2022/11/14," 8,317"," 6,995"," 1,322"," 12,528"," 16,311"," -3,783"," 44,111"," 39,306"," 4,805"
2022/11/15,,,"1,573",,,"-3,783",,,"4,865"
2022/11/15," 11,896"," 6,574"," 5,322"," 13,295"," 17,446"," -4,151"," 48,987"," 46,981"," 2,006"
2022/11/16,,,"5,508",,,"-4,151",,,"1,083"
2022/11/16," 7,437"," 5,555"," 1,882"," 13,004"," 18,611"," -5,607"," 35,517"," 26,378"," 9,139"
2022/11/17,,,"1,783",,,"-5,607",,,"7,827"
2022/11/17," 7,667"," 6,105"," 1,562"," 13,131"," 18,805"," -5,674"," 34,776"," 26,898"," 7,878"
2022/11/18,,,"1,590",,,"-5,674",,,"8,467"
2022/11/18," 7,496"," 6,770", 726," 12,952"," 18,556"," -5,604"," 37,504"," 24,913"," 12,591"
2022/11/21,,,759,,,"-5,604",,,"11,768"
2022/11/21," 7,493"," 7,079", 414," 13,364"," 18,803"," -5,439"," 37,293"," 25,868"," 11,425"
2022/11/22,,,424,,,"-5,439",,,"12,306"
2022/11/22," 7,337"," 6,911", 426," 13,773"," 18,637"," -4,864"," 37,285"," 26,545"," 10,740"
2022/11/23,,,489,,,"-4,864",,,"10,471"
2022/11/23," 7,862"," 6,285"," 1,577"," 13,820"," 18,360"," -4,540"," 37,995"," 26,465"," 11,530"
2022/11/24,,,"1,519",,,"-4,540",,,"11,286"
2022/11/24," 8,575"," 6,495"," 2,080"," 14,648"," 17,820"," -3,172"," 38,327"," 30,936"," 7,391"
2022/11/25,,,"2,392",,,"-3,172",,,"6,820"
2022/11/25," 9,394"," 7,642"," 1,752"," 15,225"," 17,938"," -2,713"," 37,027"," 32,277"," 4,750"
2022/11/28,,,"1,477",,,"-2,713",,,"5,318"
2022/11/28," 9,363"," 6,822"," 2,541"," 14,489"," 18,662"," -4,173"," 38,619"," 29,407"," 9,212"
2022/11/29,,,"2,383",,,"-4,173",,,"9,853"
2022/11/29," 8,688"," 7,292"," 1,396"," 14,420"," 18,392"," -3,972"," 39,548"," 28,358"," 11,190"
2022/11/30,,,"1,873",,,"-3,972",,,"9,344"
2022/11/30," 8,597"," 7,538"," 1,059"," 14,683"," 18,379"," -3,696"," 44,745"," 31,936"," 12,809"
2022/12/01,,,"1,480",,,"-3,696",,,"8,429"
2022/12/01," 10,901"," 7,452"," 3,449"," 15,955"," 18,488"," -2,533"," 38,559"," 35,661"," 2,898"
2022/12/02,,,"3,368",,,"-2,533",,,"1,885"
2022/12/02," 11,502"," 7,349"," 4,153"," 16,231"," 19,357"," -3,126"," 40,205"," 39,150"," 1,055"
2022/12/05,,,"4,627",,,"-3,126",,,"1,723"
2022/12/05," 11,728"," 7,424"," 4,304"," 16,502"," 20,389"," -3,887"," 41,918"," 38,312"," 3,606"
2022/12/06,,,"4,605",,,"-3,887",,,"2,497"
2022/12/06," 11,553"," 7,710"," 3,843"," 16,500"," 21,005"," -4,505"," 39,946"," 37,824"," 2,122"
2022/12/07,,,"3,658",,,"-4,505",,,"3,509"
2022/12/07," 9,786"," 7,528"," 2,258"," 16,566"," 21,751"," -5,185"," 41,954"," 34,820"," 7,134"
2022/12/08,,,"2,281",,,"-5,185",,,"6,450"
2022/12/08," 10,129"," 7,420"," 2,709"," 16,450"," 22,165"," -5,715"," 40,849"," 34,519"," 6,330"
2022/12/09,,,"2,423",,,"-5,715",,,"7,905"
2022/12/09," 9,436"," 7,921"," 1,515"," 16,655"," 21,781"," -5,126"," 38,989"," 29,985"," 9,004"
2022/12/12,,,"1,856",,,"-5,126",,,"7,541"
2022/12/12," 9,612"," 7,640"," 1,972"," 16,765"," 22,011"," -5,246"," 40,177"," 30,719"," 9,458"
2022/12/13,,,"2,206",,,"-5,246",,,"7,705"
2022/12/13," 10,665"," 7,647"," 3,018"," 16,884"," 22,246"," -5,362"," 37,356"," 31,950"," 5,406"
2022/12/14,,,"2,174",,,"-5,476",,,"7,857"
2022/12/14," 11,067"," 8,658"," 2,409"," 17,775"," 22,238"," -4,463"," 38,569"," 33,769"," 4,800"
2022/12/15,,,"3,078",,,"-4,349",,,"4,148"
2022/12/15," 11,271"," 7,864"," 3,407"," 18,146"," 21,881"," -3,735"," 38,709"," 33,137"," 5,572"
2022/12/16,,,"3,184",,,"-3,735",,,"5,738"
2022/12/16," 12,655"," 7,985"," 4,670"," 17,591"," 23,044"," -5,453"," 38,473"," 31,716"," 6,757"
2022/12/19,,,"4,673",,,"-5,453",,,"6,532"
2022/12/19," 12,549"," 7,734"," 4,815"," 17,258"," 23,194"," -5,936"," 40,149"," 30,111"," 10,038"
2022/12/20,,,"5,142",,,"-5,936",,,"9,764"
2022/12/20," 12,960"," 8,023"," 4,937"," 16,981"," 24,179"," -7,198"," 42,109"," 31,379"," 10,730"
2022/12/21,,,"3,801",,,"-7,198",,,"12,830"
2022/12/21," 8,646"," 4,726"," 3,920"," 16,634"," 24,163"," -7,529"," 35,803"," 22,172"," 13,631"
2022/12/22,,,"3,874",,,"-7,529",,,"14,049"
2022/12/22," 9,641"," 4,915"," 4,726"," 16,647"," 23,894"," -7,247"," 37,016"," 21,722"," 15,294"
2022/12/23,,,"4,103",,,"-7,247",,,"13,218"
2022/12/23," 10,990"," 5,523"," 5,467"," 15,769"," 23,979"," -8,210"," 34,602"," 21,175"," 13,427"
2022/12/26,,,"5,603",,,"-8,210",,,"12,929"
2022/12/26," 11,402"," 5,884"," 5,518"," 15,670"," 24,054"," -8,384"," 35,436"," 20,864"," 14,572"
2022/12/27,,,"5,535",,,"-8,384",,,"14,379"
2022/12/27," 11,519"," 6,129"," 5,390"," 15,999"," 23,942"," -7,943"," 35,251"," 20,552"," 14,699"
2022/12/28,,,"5,244",,,"-7,943",,,"14,873"
2022/12/28," 12,056"," 5,791"," 6,265"," 15,704"," 24,724"," -9,020"," 34,366"," 20,208"," 14,158"
2022/12/29,,,"6,068",,,"-9,020",,,"15,384"
2022/12/29," 12,021"," 5,610"," 6,411"," 14,844"," 24,880"," -10,036"," 33,528"," 19,346"," 14,182"
2022/12/30,,,"6,065",,,"-10,036",,,"15,874"
2022/12/30," 11,596"," 5,816"," 5,780"," 14,389"," 24,603"," -10,214"," 35,848"," 16,627"," 19,221"
2023/01/03,,,"6,192",,,"-10,214",,,"17,001"
2023/01/03," 11,665"," 5,507"," 6,158"," 12,524"," 23,346"," -10,822"," 33,550"," 17,606"," 15,944"
2023/01/04,,,"6,239",,,"-10,822",,,"16,066"
2023/01/04," 12,014"," 5,623"," 6,391"," 11,178"," 21,415"," -10,237"," 30,529"," 16,441"," 14,088"
2023/01/05,,,"6,334",,,"-10,237",,,"16,217"
2023/01/05," 12,952"," 5,493"," 7,459"," 10,442"," 20,659"," -10,217"," 32,446"," 15,952"," 16,494"
2023/01/06,,,"7,405",,,"-10,217",,,"15,636"
2023/01/06," 12,650"," 6,159"," 6,491"," 10,408"," 19,837"," -9,429"," 33,476"," 19,122"," 14,354"
2023/01/09,,,"6,096",,,"-9,429",,,"13,888"
2023/01/09," 12,755"," 5,378"," 7,377"," 10,500"," 18,372"," -7,872"," 34,449"," 21,934"," 12,515"
2023/01/10,,,"8,403",,,"-7,872",,,"9,106"
2023/01/10," 13,288"," 5,569"," 7,719"," 10,885"," 18,156"," -7,271"," 30,759"," 21,522"," 9,237"
2023/01/11,,,"8,113",,,"-7,271",,,"8,254"
2023/01/11," 13,378"," 5,292"," 8,086"," 10,862"," 18,208"," -7,346"," 27,864"," 22,864"," 5,000"
2023/01/12,,,"7,868",,,"-7,346",,,"6,439"
2023/01/12," 14,205"," 6,081"," 8,124"," 10,875"," 18,072"," -7,197"," 27,066"," 21,361"," 5,705"
2023/01/13,,,"7,242",,,"-7,197",,,"10,802"
2023/01/13," 12,910"," 6,373"," 6,537"," 10,608"," 17,929"," -7,321"," 33,712"," 22,023"," 11,689"
2023/01/16,,,"6,618",,,"-7,321",,,"11,657"
2023/01/16," 14,765"," 7,852"," 6,913"," 10,765"," 17,769"," -7,004"," 35,414"," 25,998"," 9,416"
2023/01/17,,,"7,184",,,"-7,004",,,"8,658"
2023/01/17," 14,748"," 7,881"," 6,867"," 9,958"," 17,629"," -7,671"," 36,144"," 26,797"," 9,347"
2023/01/30,,,"6,484",,,"-7,671",,,"11,372"
2023/01/30," 10,822"," 5,797"," 5,025"," 10,112"," 15,995"," -5,883"," 32,100"," 24,001"," 8,099"
2023/01/31,,,"5,470",,,"-5,883",,,"5,882"
2023/01/31," 11,465"," 6,334"," 5,131"," 9,915"," 16,401"," -6,486"," 30,176"," 27,587"," 2,589"
2023/02/01,,,"4,310",,,"-6,486",,,"4,408"
2023/02/01," 12,028"," 6,349"," 5,679"," 9,740"," 16,291"," -6,551"," 29,376"," 25,142"," 4,234"
2023/02/02,,,"5,906",,,"-6,551",,,"5,404"
2023/02/02," 12,701"," 6,669"," 6,032"," 10,176"," 16,036"," -5,860"," 32,174"," 23,765"," 8,409"
2023/02/03,,,"5,961",,,"-5,860",,,"8,577"
2023/02/03," 12,478"," 7,139"," 5,339"," 10,046"," 16,036"," -5,990"," 31,862"," 22,535"," 9,327"
2023/02/06,,,"5,439",,,"-5,990",,,"7,642"
2023/02/06," 13,112"," 7,572"," 5,540"," 9,999"," 16,419"," -6,420"," 31,697"," 23,782"," 7,915"
2023/02/07,,,"5,936",,,"-6,420",,,"8,896"
2023/02/07," 13,039"," 7,068"," 5,971"," 10,009"," 16,484"," -6,475"," 30,821"," 23,740"," 7,081"
2023/02/08,,,"5,901",,,"-6,475",,,"6,323"
2023/02/08," 13,010"," 7,310"," 5,700"," 9,852"," 16,156"," -6,304"," 35,524"," 23,758"," 11,766"
2023/02/09,,,"5,937",,,"-6,304",,,"9,342"
2023/02/09," 12,949"," 6,542"," 6,407"," 9,547"," 16,218"," -6,671"," 33,689"," 22,939"," 10,750"
2023/02/10,,,"6,158",,,"-6,671",,,"8,756"
2023/02/10," 11,917"," 5,885"," 6,032"," 9,430"," 16,339"," -6,909"," 36,697"," 25,015"," 11,682"
2023/02/13,,,"6,765",,,"-6,909",,,"10,126"
2023/02/13," 13,095"," 6,354"," 6,741"," 9,247"," 16,654"," -7,407"," 38,432"," 26,168"," 12,264"
2023/02/14,,,"5,677",,,"-7,407",,,"12,544"
2023/02/14," 13,091"," 8,438"," 4,653"," 9,356"," 16,617"," -7,261"," 32,401"," 20,022"," 12,379"
2023/02/15,,,"4,741",,,"-7,261",,,"13,243"
2023/02/15," 12,566"," 6,014"," 6,552"," 8,903"," 16,939"," -8,036"," 25,796"," 17,485"," 8,311"
2023/02/16,,,"6,381",,,"-8,036",,,"11,829"
2023/02/16," 12,447"," 7,062"," 5,385"," 8,774"," 16,513"," -7,739"," 31,217"," 15,281"," 15,936"
2023/02/17,,,"5,703",,,"-7,739",,,"15,324"
2023/02/17," 12,280"," 6,940"," 5,340"," 7,890"," 16,506"," -8,616"," 30,866"," 13,376"," 17,490"
2023/02/20,,,"5,818",,,"-8,616",,,"16,291"
2023/02/20," 13,042"," 7,304"," 5,738"," 7,795"," 16,345"," -8,550"," 31,568"," 13,745"," 17,823"
2023/02/21,,,"5,893",,,"-8,550",,,"16,694"
2023/02/21," 13,621"," 7,056"," 6,565"," 7,818"," 16,344"," -8,526"," 30,623"," 13,685"," 16,938"
2023/02/22,,,"6,317",,,"-8,526",,,"16,976"
2023/02/22," 13,885"," 8,294"," 5,591"," 7,755"," 16,324"," -8,569"," 32,001"," 12,665"," 19,336"
2023/02/23,,,"5,311",,,"-8,569",,,"17,081"
2023/02/23," 15,000"," 9,385"," 5,615"," 7,759"," 16,001"," -8,242"," 33,048"," 14,295"," 18,753"
2023/02/24,,,"5,821",,,"-8,242",,,"17,961"
2023/02/24," 14,979"," 8,784"," 6,195"," 7,532"," 16,169"," -8,637"," 30,256"," 14,650"," 15,606"
2023/03/01,,,"5,790",,,"-8,637",,,"15,606"
2023/03/01," 15,868"," 7,129"," 8,739"," 7,555"," 16,194"," -8,639"," 29,309"," 14,477"," 14,832"
2023/03/02,,,"8,566",,,"-8,639",,,"14,833"
2023/03/02," 15,933"," 7,634"," 8,299"," 7,518"," 16,247"," -8,729"," 30,619"," 14,533"," 16,086"
2023/03/03,,,"8,368",,,"-8,729",,,"15,335"
2023/03/03," 15,988"," 8,712"," 7,276"," 7,512"," 16,080"," -8,568"," 31,021"," 16,588"," 14,433"
2023/03/06,,,"7,447",,,"-8,568",,,"15,088"
2023/03/06," 16,286"," 8,680"," 7,606"," 7,563"," 15,726"," -8,163"," 29,428"," 16,977"," 12,451"
2023/03/07,,,"7,460",,,"-8,163",,,"12,154"
2023/03/07," 16,412"," 9,886"," 6,526"," 7,257"," 15,512"," -8,255"," 31,724"," 16,374"," 15,350"
2023/03/08,,,"7,226",,,"-8,255",,,"10,857"
2023/03/08," 16,097"," 7,526"," 8,571"," 7,233"," 15,628"," -8,395"," 27,260"," 16,701"," 10,559"
2023/03/09,,,"8,298",,,"-8,395",,,"12,323"
2023/03/09," 16,471"," 7,739"," 8,732"," 7,228"," 15,630"," -8,402"," 28,786"," 18,567"," 10,219"
2023/03/10,,,"8,660",,,"-8,402",,,"9,379"
2023/03/10," 18,383"," 9,078"," 9,305"," 7,283"," 16,642"," -9,359"," 27,581"," 21,380"," 6,201"
2023/03/13,,,"8,736",,,"-9,359",,,"9,662"
2023/03/13," 15,404"," 7,210"," 8,194"," 7,376"," 16,132"," -8,756"," 29,995"," 19,225"," 10,770"
2023/03/14,,,"9,845",,,"-8,756",,,"5,968"
2023/03/14," 18,050"," 8,082"," 9,968"," 7,499"," 16,868"," -9,369"," 25,700"," 18,104"," 7,596"
2023/03/15,,,"8,939",,,"-9,469",,,"10,265"
2023/03/15," 14,118"," 6,296"," 7,822"," 9,114"," 16,785"," -7,671"," 23,614"," 16,678"," 6,936"
2023/03/16,,,"7,263",,,"-7,571",,,"7,807"
2023/03/16," 14,448"," 6,667"," 7,781"," 9,293"," 16,984"," -7,691"," 22,232"," 16,849"," 5,383"
2023/03/17,,,"7,820",,,"-7,691",,,"5,731"
2023/03/17," 14,088"," 6,334"," 7,754"," 9,402"," 16,582"," -7,180"," 26,170"," 15,498"," 10,672"
2023/03/20,,,"7,868",,,"-7,180",,,"7,399"
2023/03/20," 15,254"," 6,890"," 8,364"," 8,871"," 16,583"," -7,712"," 23,289"," 14,666"," 8,623"
2023/03/21,,,"7,611",,,"-7,712",,,"10,316"
2023/03/21," 14,561"," 6,130"," 8,431"," 8,891"," 16,581"," -7,690"," 23,999"," 14,040"," 9,959"
2023/03/22,,,"8,482",,,"-7,690",,,"11,477"
2023/03/22," 14,198"," 6,174"," 8,024"," 9,440"," 16,124"," -6,684"," 31,607"," 13,869"," 17,738"
2023/03/23,,,"8,000",,,"-6,684",,,"15,622"
2023/03/23," 14,208"," 5,990"," 8,218"," 10,118"," 16,199"," -6,081"," 33,763"," 16,279"," 17,484"
2023/03/24,,,"7,959",,,"-6,081",,,"15,433"
2023/03/24," 14,260"," 6,427"," 7,833"," 11,138"," 15,989"," -4,851"," 30,504"," 17,776"," 12,728"
2023/03/27,,,"8,125",,,"-4,851",,,"10,419"
2023/03/27," 14,410"," 5,817"," 8,593"," 11,568"," 16,050"," -4,482"," 24,879"," 20,522"," 4,357"
2023/03/28,,,"7,943",,,"-4,482",,,"6,499"
2023/03/28," 14,282"," 6,193"," 8,089"," 11,837"," 16,417"," -4,580"," 24,526"," 19,789"," 4,737"
2023/03/29,,,"8,179",,,"-4,580",,,"5,276"
2023/03/29," 13,861"," 5,864"," 7,997"," 11,789"," 16,419"," -4,630"," 26,754"," 19,115"," 7,639"
2023/03/30,,,"8,011",,,"-4,630",,,"7,180"
2023/03/30," 13,778"," 5,523"," 8,255"," 10,896"," 16,142"," -5,246"," 27,736"," 18,106"," 9,630"
2023/03/31,,,"7,992",,,"-5,246",,,"10,604"
2023/03/31," 14,190"," 5,626"," 8,564"," 10,712"," 16,230"," -5,518"," 26,560"," 20,191"," 6,369"
2023/04/06,,,"8,357",,,"-5,518",,,"7,230"
2023/04/06," 13,715"," 5,912"," 7,803"," 10,402"," 16,445"," -6,043"," 29,682"," 19,470"," 10,212"
2023/04/07,,,"7,979",,,"-6,043",,,"10,989"
2023/04/07," 13,795"," 5,801"," 7,994"," 10,407"," 16,336"," -5,929"," 29,501"," 19,590"," 9,911"
2023/04/10,,,"8,319",,,"-5,929",,,"10,472"
2023/04/10," 14,118"," 5,579"," 8,539"," 10,459"," 16,334"," -5,875"," 30,955"," 20,011"," 10,944"
2023/04/11,,,"8,287",,,"-5,875",,,"10,270"
2023/04/11," 13,543"," 6,725"," 6,818"," 9,688"," 15,872"," -6,184"," 31,775"," 20,059"," 11,716"
2023/04/12,,,"7,195",,,"-6,184",,,"12,041"
2023/04/12," 14,295"," 5,681"," 8,614"," 9,248"," 15,880"," -6,632"," 30,096"," 19,670"," 10,426"
2023/04/13,,,"8,871",,,"-6,632",,,"9,761"
2023/04/13," 14,540"," 5,635"," 8,905"," 8,967"," 16,181"," -7,214"," 30,553"," 20,051"," 10,502"
2023/04/14,,,"8,181",,,"-7,214",,,"13,490"
2023/04/14," 13,553"," 6,478"," 7,075"," 8,997"," 15,858"," -6,861"," 37,144"," 22,961"," 14,183"
2023/04/17,,,"8,343",,,"-6,861",,,"9,845"
2023/04/17," 15,372"," 5,789"," 9,583"," 8,457"," 15,864"," -7,407"," 35,961"," 24,724"," 11,237"
2023/04/18,,,"10,035",,,"-7,407",,,"8,239"
2023/04/18," 14,820"," 6,557"," 8,263"," 8,426"," 16,016"," -7,590"," 34,973"," 25,483"," 9,490"
2023/04/19,,,"8,043",,,"-7,590",,,"10,267"
2023/04/19," 11,775"," 5,813"," 5,962"," 8,652"," 16,214"," -7,562"," 29,081"," 20,373"," 8,708"
2023/04/20,,,"5,404",,,"-7,562",,,"10,994"
2023/04/20," 11,469"," 6,475"," 4,994"," 8,638"," 16,329"," -7,691"," 30,643"," 17,943"," 12,700"
2023/04/21,,,"5,121",,,"-7,691",,,"16,204"
2023/04/21," 12,070"," 6,481"," 5,589"," 8,676"," 16,667"," -7,991"," 32,933"," 19,099"," 13,834"
2023/04/24,,,"5,689",,,"-7,991",,,"12,976"
2023/04/24," 12,377"," 7,305"," 5,072"," 8,725"," 16,672"," -7,947"," 34,800"," 19,123"," 15,677"
2023/04/25,,,"5,470",,,"-7,947",,,"15,324"
2023/04/25," 12,717"," 6,801"," 5,916"," 9,073"," 17,172"," -8,099"," 31,925"," 25,354"," 6,571"
2023/04/26,,,"5,365",,,"-8,099",,,"9,007"
2023/04/26," 12,491"," 6,981"," 5,510"," 9,072"," 17,213"," -8,141"," 32,411"," 26,846"," 5,565"
2023/04/27,,,"5,501",,,"-8,141",,,"5,367"
2023/04/27," 12,233"," 6,718"," 5,515"," 9,227"," 17,290"," -8,063"," 32,605"," 23,352"," 9,253"
2023/04/28,,,"5,339",,,"-8,063",,,"9,261"
2023/04/28," 12,261"," 7,032"," 5,229"," 9,239"," 16,852"," -7,613"," 34,486"," 21,733"," 12,753"
2023/05/02,,,"5,305",,,"-7,613",,,"13,673"
2023/05/02," 13,239"," 8,447"," 4,792"," 9,205"," 16,742"," -7,537"," 35,080"," 20,979"," 14,101"
2023/05/03,,,"5,084",,,"-7,537",,,"11,719"
2023/05/03," 12,636"," 7,621"," 5,015"," 9,212"," 16,932"," -7,720"," 34,363"," 20,673"," 13,690"
2023/05/04,,,"4,929",,,"-7,720",,,"14,573"
